title,classification,confidence,score_real_world,score_speculative,score_lore,url
Sensors,testable_real_world_engineering,0.99,709,14,0,https://wiki.fusiongirl.app/index.php?title=Sensors
"Engineering Technology that combines Magnetohydrodynamic (MHD) fluids, Quantum Mechanics, and Spin Waves",testable_real_world_engineering,0.99,330,8,0,"https://wiki.fusiongirl.app/index.php?title=Engineering_Technology_that_combines_Magnetohydrodynamic_(MHD)_fluids,_Quantum_Mechanics,_and_Spin_Waves"
Psi Field,testable_real_world_engineering,0.76,237,330,0,https://wiki.fusiongirl.app/index.php?title=Psi_Field
Quantum Consciousness,testable_real_world_engineering,0.85,215,128,0,https://wiki.fusiongirl.app/index.php?title=Quantum_Consciousness
Magnetohydrodynamics,testable_real_world_engineering,0.99,151,0,11,https://wiki.fusiongirl.app/index.php?title=Magnetohydrodynamics
Magnetohydrodynamic,testable_real_world_engineering,0.99,150,0,0,https://wiki.fusiongirl.app/index.php?title=Magnetohydrodynamic
Scientific Foundations of Psionics,testable_real_world_engineering,0.99,143,58,0,https://wiki.fusiongirl.app/index.php?title=Scientific_Foundations_of_Psionics
Magneto Speeder,testable_real_world_engineering,0.61,132,130,97,https://wiki.fusiongirl.app/index.php?title=Magneto_Speeder
Psionics,testable_real_world_engineering,0.99,117,540,3,https://wiki.fusiongirl.app/index.php?title=Psionics
Fields,testable_real_world_engineering,0.99,112,32,0,https://wiki.fusiongirl.app/index.php?title=Fields
Gravitomagnetic London Moment,testable_real_world_engineering,0.77,97,138,5,https://wiki.fusiongirl.app/index.php?title=Gravitomagnetic_London_Moment
"MHD Fluids, Quantum Mechanics and Spin Waves",testable_real_world_engineering,0.99,91,0,0,"https://wiki.fusiongirl.app/index.php?title=MHD_Fluids,_Quantum_Mechanics_and_Spin_Waves"
Sensor Tech,testable_real_world_engineering,0.84,85,52,3,https://wiki.fusiongirl.app/index.php?title=Sensor_Tech
Gravitoelectromagnetism,testable_real_world_engineering,0.75,83,112,10,https://wiki.fusiongirl.app/index.php?title=Gravitoelectromagnetism
Magnetogravitics,testable_real_world_engineering,0.81,81,124,11,https://wiki.fusiongirl.app/index.php?title=Magnetogravitics
PsiNet,testable_real_world_engineering,0.99,79,198,0,https://wiki.fusiongirl.app/index.php?title=PsiNet
"Equations, Formulas and Algorithms",testable_real_world_engineering,0.99,73,4,0,"https://wiki.fusiongirl.app/index.php?title=Equations,_Formulas_and_Algorithms"
Collective Consciousness,testable_real_world_engineering,0.99,65,24,0,https://wiki.fusiongirl.app/index.php?title=Collective_Consciousness
Consciousness,testable_real_world_engineering,0.99,58,144,2,https://wiki.fusiongirl.app/index.php?title=Consciousness
Magnetokinetics,testable_real_world_engineering,0.99,58,8,0,https://wiki.fusiongirl.app/index.php?title=Magnetokinetics
Psi Energy Density Scalar Field,testable_real_world_engineering,0.74,57,75,0,https://wiki.fusiongirl.app/index.php?title=Psi_Energy_Density_Scalar_Field
Magnetogravitic Tech,testable_real_world_engineering,0.99,53,140,8,https://wiki.fusiongirl.app/index.php?title=Magnetogravitic_Tech
Non-Hertzian Scalar Wave,testable_real_world_engineering,0.66,50,56,10,https://wiki.fusiongirl.app/index.php?title=Non-Hertzian_Scalar_Wave
Psi Weapons,testable_real_world_engineering,0.99,43,192,23,https://wiki.fusiongirl.app/index.php?title=Psi_Weapons
Psi Scanner,testable_real_world_engineering,0.96,41,88,0,https://wiki.fusiongirl.app/index.php?title=Psi_Scanner
